CIENCIAS AGROPECUARIAS |  |  | 
 | AGRONOMÍA |  | 
 |  | ING.  AGRÍCOLA                                                                                                                                 | 
 |  | ING.  AGRÍCOLA Y AMBIENTAL                                                                                                                    | 
 |  | ING.  AGROECÓLOGO                                                                                                                            | 
 |  | ING.  AGROHIDRÁULIC.O                                                                                                                         | 
 |  | ING.  AGRONÓMICA EN FITOTECNIA Y PARASITOLOGÍA                                                                                               | 
 |  | ING.  AGRÓNOMO                                                                                                                          | 
 |  | ING.  AGRÓNOMO ADMINISTRADOR                                                                                                               | 
 |  | ING.  AGRÓNOMO EN BOSQUES                                                                                                                   | 
 |  | ING.  AGRÓNOMO EN DESARROLLO RURAL                                                                                                         | 
 |  | ING.  AGRÓNOMO EN ECONOMÍA AGRÍCOLA                                                                                                        | 
 |  | ING.  AGRÓNOMO EN FITOMEJORAMIENTO                                                                                                         | 
 |  | ING.  AGRÓNOMO EN FITOTECNIA                                                                                                                  | 
 |  | ING.  AGRÓNOMO EN FLORICULTURA                                                                                                              | 
 |  | ING.  AGRÓNOMO EN FRUTICULTURA                                                                                                              | 
 |  | ING.  AGRÓNOMO EN HORTICULTURA                                                                                                             | 
 |  | ING.  AGRÓNOMO EN IRRIGACIÓN                                                                                                                 | 
 |  | ING.  AGRÓNOMO EN PARASITOLOGÍA                                                                                                             | 
 |  | ING.  AGRÓNOMO EN PARASITOLOGÍA AGRÍCOLA                                                                                                   | 
 |  | ING.  AGRÓNOMO EN PRODUCCIÓN                                                                                                              | 
 |  | ING.  AGRÓNOMO EN SISTEMAS AGRÍCOLAS DE ZONAS ÁRIDAS                                                                                     | 
 |  | ING.  AGRÓNOMO EN SISTEMAS PECUARIOS DE ZONAS ÁRIDAS                                                                                     | 
 |  | ING.  AGRÓNOMO EN SOCIOLOGÍA RURAL                                                                                                         | 
 |  | ING.  AGRÓNOMO EN SUELOS                                                                                                                    | 
 |  | ING.  AGRÓNOMO EN SUELOS E IRRIGACIÓN                                                                                                       | 
 |  | ING.  AGRÓNOMO EN ZONAS TROPICALES                                                                                                         | 
 |  | ING.  AGRÓNOMO EN ZOOTECNIA                                                                                                                 | 
 |  | ING.  AGRÓNOMO FITOTECNISTA                                                                                                                  | 
 |  | ING.  AGRÓNOMO INDUSTRIAL                                                                                                                   | 
 |  | ING.  AGRÓNOMO PARASITÓLOGO                                                                                                                | 
 |  | ING.  AGRÓNOMO TROPICAL                                                                                                                      | 
 |  | ING.  AGRÓNOMO ZOOTECNISTA                                                                                                                  | 
 |  | ING.  EMPRESARIAL AGROPECUARIO                                                                                                              | 
 |  | ING.  EN AGROBIOLOGÍA                                                                                                                          | 
 |  | ING.  EN AGROECOLOGÍA                                                                                                                        | 
 |  | ING.  EN AGRONEGOCIOS                                                                                                                         | 
 |  | ING.  EN AGRONOMÍA                                                                                                                           | 
 |  | ING.  EN INNOVACIÓN AGRÍCOLA SUSTENTABLE                                                                                                    | 
 |  | ING.  EN IRRIGACIÓN                                                                                                                             | 
 |  | ING.  EN SISTEMAS DE PRODUCCIÓN AGROPECUARIA                                                                                               | 
 |  | ING.  EN SISTEMAS PECUARIOS                                                                                                                   | 
 |  | ING.  FITOSANITARIO                                                                                                                             | 
 |  | LIC.  EN AGROBIOTECNOLOGÍA                                                                                                                   | 
 |  | LIC.  EN AGROECOLOGÍA                                                                                                                         | 
 |  | LIC.  EN AGRONEGOCIOS                                                                                                                         | 
 |  | LIC.  EN AGRONEGOCIOS INTERNACIONALES                                                                                                       | 
 |  | LIC.  EN AGRONOMÍA                                                                                                                            | 
 |  | LIC.  EN CIENCIAS AGROPECUARIAS EN AGRONEGOCIOS                                                                                            | 
 |  | LIC.  EN CIENCIAS AGROPECUARIAS EN HORTICULTURA                                                                                             | 
 |  | LIC.  EN CIENCIAS AGROPECUARIAS EN PRODUCCIÓN AGRÍCOLA                                                                                     | 
