MAESTRÍA |  |  |  | 
 | CIENCIAS AGROPECUARIAS |  |  | 
 |  | AGRONOMÍA |  | 
 |  |  | Agricultura Aplicada al Trópico | 
 |  |  |  | COLEGIO DE POSTGRADUADOS - UNIDAD CAMPECHE                                                                                                                                                   
 |  |  | Agricultura Orgánica Sustentable | 
 |  |  |  | UNIVERSIDAD JUÁREZ DEL ESTADO DE DURANGO                                                                                                                                                      
 |  |  | Agricultura Tropical | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE CHIAPAS                                                                                                                                                                    
 |  |  | AgroecologÍa Tropical | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE CHIAPAS                                                                                                                                                                    
 |  |  | Agroecosistemas Tropicales | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  |  |  | COLEGIO DE POTSGRADUADOS - UNIDAD VERACRUZ                                                                                                                                                   
 |  |  | Ciencia y TecnologÍa Agroalimentaria | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO                                                                                                                                                                     
 |  |  | Ciencias Agrarias | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO                                                                                                                                                   
 |  |  | Ciencias AgrÍcolas | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA                                                                                                                                                         
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE TAMAULIPAS                                                                                                                                                               
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE ZACATECAS                                                                                                                                                                
 |  |  | Ciencias AgrÍcolas y Forestales | 
 |  |  |  | UNIVERSIDAD DE GUADALAJARA                                                                                                                                                                           
 |  |  | Ciencias Agropecuarias | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA METROPOLITANA                                                                                                                                                              
 |  |  |  | UNIVERSIDAD DE SONORA                                                                                                                                                                                  
 |  |  | Ciencias Agropecuarias y Recursos Naturales | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO                                                                                                                                                    
 |  |  | Ciencias de la Productividad FrutÍcola | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA                                                                                                                                                                
 |  |  | Ciencias de Producción AgrÍcola | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE SINALOA                                                                                                                                                                    
 |  |  | Ciencias en: Agricultura Tropical | 
 |  |  |  | COLEGIO DE POSTGRADUADOS - UNIDAD CAMPECHE                                                                                                                                                   
 |  |  | Ciencias en: ParasitologÍa AgrÍcola | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO                                                                                                                                                   
 |  |  | Ciencias en: Producción AgrÍcola | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN                                                                                                                                                              
 |  |  | Ciencias en: Producción AgrÍcola Sustentable | 
 |  |  |  | CENTRO INTER RIO DE INVESTIGACIÓN PARA EL DESARROLLO INTEGRAL REGIONAL - UNIDAD MICHOACÁN DEL IPN                                                            
 |  |  | Ciencias en: Producción Agroalimentaria en el Trópico | 
 |  |  |  | COLEGIO DE POSTGRADUADOS - UNIDAD TABASCO                                                                                                                                                    
 |  |  | Ciencias en: Productividad de Agroecosistemas | 
 |  |  |  | INSTITUTO TECNOLÓGICO AGROPECUARIO No    DE SANTA CRUZ XOXOCOTLÁN                                                                                                                 
 |  |  | EdafologÍa | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  |  | EntomologÍa y AcarologÍa | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  |  | FitopatologÍa | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  |  | Fruticultura | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  |  | IngenierÍa AgrÍcola y Uso Integral del Agua | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO                                                                                                                                                                     
 |  |  | Manejo y Explotación de los Agrosistemas de la Caña de Azúcar | 
 |  |  |  | UNIVERSIDAD VERACRUZANA                                                                                                                                                                              
 |  |  | Producción AgrÍcola | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE GUERRERO                                                                                                                                                                
 |  |  | Producción Agroalimentaria del Trópico | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  |  | Producción Agropecuaria | 
 |  |  |  | UNIVERSIDAD JUÁREZ DEL ESTADO DE DURANGO                                                                                                                                                      
 |  |  | Producción de Semillas | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  |  | Protección Vegetal | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO                                                                                                                                                                     
 |  | BIOTECNOLOGÍA AGROPECUARIA |  | 
 |  |  | BiotecnologÍa AgrÍcola | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO                                                                                                                                                                     
 |  |  | BiotecnologÍa Agropecuaria | 
 |  |  |  | INSTITUTO TECNOLÓGICO AGROPECUARIO No    DE AGUASCALIENTES                                                                                                                             
 |  |  | BiotecnologÍa de la Nutrición (Rumiantes) | 
 |  |  |  | UNIVERSIDAD JUÁREZ DEL ESTADO DE DURANGO                                                                                                                                                      
 |  |  | Ciencias en: AgrobiotecnologÍa | 
 |  |  |  | INSTITUTO TECNOLÓGICO AGROPECUARIO No    DE TLAJOMULCO DE ZÚÑIGA                                                                                                                    
 |  |  | Ciencias en: BiotecnologÍa de Plantas | 
 |  |  |  | CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN |  A C                                                                                                                                             
 |  |  |  | CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL IPN - UNIDAD IRAPUATO                                                                                                           
 |  |  | Ciencias en: Fitomejoramiento | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO                                                                                                                                                   
 |  |  | Ciencias en: Semillas | 
 |  |  |  | INSTITUTO TECNOLÓGICO DE ROQUE                                                                                                                                                                     
 |  |  | TecnologÍa de Granos y Semillas | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO                                                                                                                                                   
 |  | CIENCIAS FORESTALES |  | 
 |  |  | AgroforesterÍa para el Desarrollo Sostenible | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO                                                                                                                                                                     
 |  |  | Ciencias de Productos Forestales | 
 |  |  |  | UNIVERSIDAD DE GUADALAJARA                                                                                                                                                                           
 |  |  | Ciencias Forestales | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  |  |  | INSTITUTO TECNOLÓGICO FORESTAL No                                                                                                                                                                  
 |  |  |  | UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO                                                                                                                                                   
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO                                                                                                                                                                     
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN                                                                                                                                                              
 |  | DESARROLLO AGROPECUARIO |  | 
 |  |  | Ciencias en: Estrategias para el Desarrollo AgrÍcola Regional | 
 |  |  |  | COLEGIO DE POSTGRADUADOS - UNIDAD PUEBLA                                                                                                                                                      
 |  |  | Estrategias para el Desarrollo AgrÍcola Regional | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  | DESARROLLO FORESTAL |  | 
 |  |  | Ciencias de Desarrollo Forestal Sustentable | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA                                                                                                                                                                
 |  | DESARROLLO RURAL |  | 
 |  |  | Ciencias en: Desarrollo Rural | 
 |  |  |  | UNIVERSIDAD AUTONÓMA DEL ESTADO DE MORELOS                                                                                                                                                  
 |  |  | Ciencias en: Desarrollo Rural Regional | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO                                                                                                                                                                     
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO - CENTRO REGIONAL UNIVERSITARIO CENTRO-NORTE                                                                                                    
 |  |  | Desarrollo Rural | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA METROPOLITANA                                                                                                                                                              
 |  |  | Estudio del Desarrollo Rural | 
 |  |  |  | COLEGIO DE POSTGRADUADOS                                                                                                                                                                            
 |  | HORTICULTURA |  | 
 |  |  | Ciencias en: Horticultura | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO                                                                                                                                                   
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA                                                                                                                                                                
 |  |  | Horticultura | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA CHAPINGO                                                                                                                                                                     
 |  |  |  | UNIVERSIDAD DE SONORA                                                                                                                                                                                  
 |  |  | Horticultura Tropical | 
 |  |  |  | INSTITUTO TECNOLÓGICO DE CONKAL                                                                                                                                                                    
 |  |  | Protección Vegetal de Hortalizas | 
 |  |  |  | UNIVERSIDAD DE GUANAJUATO                                                                                                                                                                            
 |  | INGENIERÍA AGROINDUSTRIAL |  | 
 |  |  | Ciencias en: IngenierÍa en Sistemas AgrÍcolas | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO                                                                                                                                                   
 |  | VETERINARIA Y ZOOTECNIA |  | 
 |  |  | Ciencia Animal | 
 |  |  |  | UNIVERSIDAD VERACRUZANA                                                                                                                                                                              
 |  |  | Ciencia Animal Tropical | 
 |  |  |  | INSTITUTO TECNOLÓGICO DE CONKAL                                                                                                                                                                    
 |  |  | Ciencias de la Producción y de la Salud Animal | 
 |  |  |  | UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO                                                                                                                                                        
 |  |  |  | UNIVERSIDAD NACIONAL AUTÓNOMA DE MEXICO - ESTADO DE MÉXICO                                                                                                                              
 |  |  | Ciencias en: Bovinos Productores de Carne | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE TAMAULIPAS                                                                                                                                                               
 |  |  | Ciencias en: Desarrollo Tecnológico en Sistemas de Producción Animal | 
 |  |  |  | UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO                                                                                                                                            
 |  |  | Ciencias en: Nutrición Animal | 
 |  |  |  | UNIVERSIDAD DE GUADALAJARA                                                                                                                                                                           
 |  |  | Ciencias en: ParasitologÍa Animal | 
 |  |  |  | UNIVERSIDAD AUTONÓMA DEL ESTADO DE MORELOS                                                                                                                                                  
 |  |  | Ciencias en: Producción Animal | 
 |  |  |  | UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN                                                                                                                                                              
 |  |  | Ciencias en: Producción Animal Tropical | 
